S.No,City,Date,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
1,Mumbai,03/21/2023,228.8,440.8,63.5,12.5,0.24,,348.0,Very Poor
2,Delhi,03/16/2023,395.0,92.2,91.1,31.7,4.85,101.8,,SEVERE 
3,Chennai,03/03/2023,356.2,188.4,22.0,,3.83,76.1,518.0,Severe
4,delhi,28/01/2023,104.3,64.7,135.1,72.2,3.2,44.0,150.0,moderate 
5,Mumbai,17-01-2023,372.6,407.9,96.8,70.0,4.04,26.5,574.0,SEVERE 
6,Lucknow,25/01/2023,,303.6,103.2,3.3,2.61,31.0,44.0,GOOD
7,Chennai,03/01/2023,80.9,108.0,49.1,42.9,2.22,38.5,125.0,Moderate
8,Chennai ,2023-01-29,293.1,450.6,133.6,62.8,3.25,14.7,426.0,Severe
9,Delhi,30-01-2023,360.4,311.1,6.3,9.9,3.35,5.6,527.0,SEVERE 
10,Hyderabad,14-01-2023,288.2,385.2,86.4,62.1,2.52,65.1,429.0,SEVERE 
11,Mumbai,2023-04-04,219.5,301.7,113.1,35.7,0.73,37.6,323.0,Very Poor
12,delhi,10-04-2023,104.5,75.1,93.5,24.5,2.95,22.8,155.0,moderate 
13,Ahmedabad,07-04-2023,41.3,271.8,64.5,78.6,0.65,50.8,80.0,satisfactory
14,Chennai ,2023-01-15,19.9,71.8,9.6,51.6,1.64,,46.0,GOOD
15,delhi,2023-01-01,156.1,476.3,111.1,48.7,0.86,22.9,,Poor
16,delhi,22-01-2023,206.0,44.7,45.4,72.8,1.27,21.7,308.0,Very Poor
17,delhi,2023-01-04,64.4,,58.1,37.6,3.95,,97.0,satisfactory
18,Kolkata,2023-01-31,224.0,352.1,99.5,,3.59,32.3,329.0,Very Poor
19,Bengaluru,03/26/2023,59.9,92.9,25.1,52.0,0.99,44.8,105.0,Moderate
20,Ahmedabad,01-03-2023,233.6,323.3,70.0,24.9,1.71,82.3,360.0,very poor
21,delhi,24-01-2023,256.6,-999,82.7,,4.19,41.9,372.0,Very Poor
22,Chennai,12-01-2023,38.9,192.1,21.8,69.3,3.15,43.1,40.0,Good
23,Lucknow,02/06/2023,341.9,172.1,29.6,45.4,,85.0,515.0,SEVERE 
24,MUMBAI,2023-03-31,199.0,316.8,58.5,38.1,3.76,9.2,,
25,Chennai ,23/03/2023,180.6,454.0,55.5,42.1,3.94,50.6,275.0,
26,Chennai,03/25/2023,392.2,256.5,52.7,51.4,1.28,13.7,573.0,Severe
27,Chennai,06/01/2023,,166.2,19.2,55.4,2.26,19.0,487.0,Severe
28,MUMBAI,26/01/2023,78.0,351.7,61.1,75.1,0.77,44.2,101.0,Moderate
29,MUMBAI,05-02-2023,372.0,225.5,145.2,77.2,4.28,38.9,,SEVERE 
30,delhi,02/26/2023,155.1,392.7,54.4,74.6,,54.3,242.0,Poor
31,Mumbai,14-02-2023,320.1,150.0,68.7,8.1,0.22,115.7,493.0,SEVERE 
32,Ahmedabad,07-04-2023,41.3,271.8,64.5,78.6,0.65,50.8,80.0,satisfactory
33,MUMBAI,02-01-2023,347.8,,107.7,3.6,4.85,100.7,510.0,Severe
34,Delhi,19/01/2023,329.0,433.2,6.0,41.8,2.15,30.5,478.0,SEVERE 
35,Bengaluru,03/19/2023,60.4,477.9,,19.8,3.39,76.1,84.0,Satisfactory
36,Kolkata,03/09/2023,385.7,,145.6,5.4,4.47,65.7,,Severe
37,Kolkata,02/27/2023,304.3,69.5,135.9,41.4,4.15,41.8,472.0,Severe
38,Jaipur,07/01/2023,23.4,456.5,42.5,53.7,,64.8,36.0,GOOD
39,Chennai,2023-03-30,33.8,,121.9,60.4,1.0,29.1,45.0,GOOD
40,Mumbai,2023-02-24,,155.3,22.1,56.3,,105.9,500.0,SEVERE 
41,Kolkata,04/09/2023,232.9,154.4,116.6,16.6,1.69,53.9,349.0,Very Poor
42,DELHI,2023-01-01,156.1,476.3,111.1,48.7,0.86,22.9,,Poor
43,Hyderabad,11-01-2023,311.2,-999,5.8,65.6,3.56,88.8,477.0,Severe
44,Mumbai,01/13/2023,131.3,176.1,110.8,51.7,4.45,59.3,181.0,Moderate
45,Hyderabad,2023-03-04,42.8,356.5,15.6,66.1,3.56,14.4,47.0,GOOD
46,Delhi,2023-03-06,156.7,60.1,117.7,45.6,2.18,109.2,219.0,Poor
47,delhi,18/02/2023,343.6,357.8,73.8,9.6,2.51,59.4,502.0,Severe
48,Jaipur,07/01/2023,23.4,456.5,42.5,53.7,,64.8,36.0,GOOD
49,delhi,02/02/2023,113.4,137.1,146.1,32.7,4.47,77.6,181.0,moderate 
50,Mumbai,20/01/2023,141.7,472.6,51.9,42.5,3.54,,231.0,Poor
51,Pune,01/27/2023,370.6,441.1,42.4,53.5,4.1,68.8,557.0,
52,MUMBAI,2023-03-15,173.1,467.7,130.6,5.5,0.23,48.3,272.0,Poor
53,Jaipur,03/02/2023,318.7,399.0,18.2,40.6,0.38,68.2,475.0,
54,Chennai ,10/01/2023,149.1,154.8,83.7,13.0,4.03,13.6,243.0,POOR
55,Delhi,23/02/2023,17.1,65.3,104.0,7.6,1.66,102.2,6.0,GOOD
56,Delhi,2023-03-06,156.7,60.1,117.7,45.6,2.18,109.2,219.0,Poor
57,Lucknow,18/01/2023,220.3,407.6,134.9,26.8,0.64,31.2,327.0,Very Poor
58,Mumbai,25/02/2023,323.4,155.4,30.7,60.5,4.05,118.9,481.0,Severe
59,Chennai,2023-03-07,,25.4,73.0,6.4,0.68,18.5,309.0,Very Poor
60,Kolkata,03/20/2023,54.3,342.4,80.4,62.2,2.65,103.0,83.0,
61,Ahmedabad,02/11/2023,221.6,,90.7,,0.28 ppm,,326.0,very poor
62,Chennai,03/25/2023,392.2,256.5,52.7,51.4,1.28,13.7,573.0,Severe
63,Delhi,2023-03-22,284.6,122.2,24.8,3.1,1.82 ppm,72.8,422.0,Severe
64,Bengaluru,02/15/2023,281.4,216.3,30.1,,,68.2,,Severe
65,delhi,03/13/2023,40.3,487.7,148.0,56.5,2.73,40.6,73.0,satisfactory
66,Pune,09-01-2023,44.5,114.1,11.6,27.4,2.0,36.2,79.0,Satisfactory
67,Chennai,18/03/2023,398.7,286.6,,75.7,4.26 ppm,33.4,596.0,SEVERE 
68,Bengaluru,29/03/2023,279.3,38.9,120.9,51.0,0.5,105.5,435.0,SEVERE 
69,Chennai,08-04-2023,347.5,412.2,42.4,15.3,3.38,111.9,523.0,Severe
70,Jaipur,2023-04-03,56.7,447.5,,55.0,3.97,62.3,68.0,Satisfactory
71,Ahmedabad,2023-04-05,261.9,294.0,,78.9,3.07,32.3,,Very Poor
72,Lucknow,20-02-2023,206.2,431.1,,14.7,0.45,78.9,290.0,POOR
73,Chennai ,22-02-2023,377.2,205.3,144.4,72.6,1.06,13.0,549.0,Severe
74,Hyderabad,2023-03-08,,300.0,,31.2,1.5,,440.0,Severe
75,Jaipur,02/04/2023,104.6,149.2,,,1.68,29.3,149.0,Moderate
76,Chennai,2023-03-12,187.7,317.7,45.2,16.7,2.37,45.6,284.0,Poor
77,MUMBAI,16-02-2023,N/A,154.4,143.5,59.6,2.82,75.3,398.0,Very Poor
78,Jaipur,10/03/2023,38.8,,145.5,42.8,3.18,85.0,56.0,satisfactory
79,Chennai,03/11/2023,254.7,300.5,135.7,5.5,1.48,114.3,397.0,very poor
80,Kolkata,03/28/2023,79.0,62.6,22.5,37.9,1.11,46.9,118.0,moderate 
81,Jaipur,28/02/2023,161.8,25.2,136.3,9.1,1.66,114.3,260.0,POOR
82,delhi,02/03/2023,,296.9,76.4,17.2,3.64,37.3,289.0,Poor
83,Mumbai,2023-02-08,281.8,357.2,57.1,24.9,4.07,98.2,437.0,Severe
84,Delhi,2023-02-21,238.5,471.3,88.4,,3.25,57.7,359.0,
85,Jaipur,2023-02-12,59.6,270.7,,18.8,3.15,14.8,71.0,Satisfactory
86,Delhi,2023-01-05,241.0,42.3,93.1,15.3,0.42,114.1,380.0,Very Poor
87,Kolkata,03/09/2023,385.7,,145.6,5.4,4.47,65.7,,Severe
88,Bengaluru,09/02/2023,366.2,265.4,77.7,64.3,3.28,85.7,561.0,SEVERE 
89,Chennai,07/02/2023,47.9,315.2,148.6,12.9,,,,
90,Ahmedabad,21-01-2023,,-999,77.1,25.5,1.5,9.2,582.0,SEVERE 
91,Delhi,2023-04-01,288.2,,79.2,,0.63,56.5,433.0,SEVERE 
92,Lucknow,01-02-2023,301.1,331.8,128.1,53.3,2.88,15.8,446.0,Severe
93,Jaipur,05/03/2023,394.8,199.6,58.7,65.4,4.74,118.4,602.0,Severe
94,Jaipur,2023-02-17,106.6,190.9,114.9,3.1,0.67,10.3,141.0,
95,Ahmedabad,27-03-2023,194.8,-999,30.0,17.0,0.3,24.4,283.0,
96,Mumbai,2023-04-04,219.5,301.7,113.1,35.7,0.73,37.6,323.0,Very Poor
97,Lucknow,2023-04-06,69.6,138.1,28.3,16.6,1.5,24.9,120.0,Moderate
98,Hyderabad,19/02/2023,N/A,211.3,94.3,51.5,0.32,48.1,273.0,Poor
99,Kolkata,04/02/2023,261.7,105.0,141.4,76.4,4.58,47.6,373.0,Very Poor
100,delhi,01/08/2023,82.1,,117.4,75.3,,73.8,140.0,Moderate
101,Chennai ,2023-03-17,192.8,219.1,44.6,6.4,4.34,98.5,309.0,Very Poor
102,Ahmedabad,03/24/2023,346.3,475.8,26.3,74.3,2.51,34.7,517.0,
103,delhi,13-02-2023,217.2,279.5,97.4,58.6,4.88,,318.0,very poor
104,Hyderabad,23-01-2023,N/A,136.2,102.5,61.4,,88.7,586.0,Severe
105,Ahmedabad,03/14/2023,277.0,98.1,137.1,66.2,4.75,88.5,420.0,SEVERE 
106,Pune,2023-01-16,107.2,217.0,114.6,19.8,0.48,38.3,147.0,moderate 
107,Lucknow,2023-02-10,357.1,182.2,59.5,9.3,2.93,9.1,534.0,SEVERE 
